delta_x,delta_v
8.936872,-1.4515718
10.10674,3.9269881
12.395328,0.56538814
11.322316,-2.7962117
11.147544,2.582348
12.091493,-0.7792518
9.6738405,-4.140852
8.1544285,1.2377082
7.753737,-2.1238918
8.251285,3.2546682
30.931982,-3.488104
25.805477,-6.8497043
18.418901,-7.9512334
13.089108,-2.5726733
11.375428,-0.81022674
10.846677,-0.23270828
8.975569,-3.5943084
8.0027,1.7842517
8.148552,-1.5773482
9.192644,3.8012118
11.355455,0.43961173
10.156667,-2.9219882
9.856119,2.4565718
10.674291,-0.9050283
9.232391,-2.0065575
9.847274,3.3720026
11.580876,0.010402635
9.952879,-3.3511975
9.223122,2.0273626
9.612084,-1.3342373
10.899287,4.0443225
13.30521,0.6827226
12.349532,-2.6788774
9.133784,-3.7804065
7.9748178,1.5981536
7.9345713,-1.7634465
8.792565,3.6151135
10.769279,0.25351354
9.384392,-3.1080863
8.897745,2.2704735
31.827442,-3.127056
27.061987,-6.488656
20.036459,-7.590185
15.067715,-2.211625
13.715083,-0.44917855
11.627504,-3.8107786
10.438166,1.5677814
10.367547,-1.7938186
11.1951685,3.5847414
13.14151,0.22314145
11.726252,-3.1384585
11.209233,2.2401013
11.810934,-1.1214986
10.152565,-2.2230277
10.550978,3.1555324
12.0681095,-0.20606764
10.223642,-3.5676677
9.277414,1.8108923
9.449907,-1.5507076
10.520639,3.8278522
12.710092,0.46625236
11.537944,-2.8953476
11.264036,2.4832125
12.108849,-0.87838763
10.69359,-1.9799167
8.537751,-2.3408659
8.818326,3.0376942
10.21762,-0.32390577
8.255314,-3.6855059
7.1912484,1.6930542
30.634333,-3.034117
25.961815,-6.395717
19.029228,-7.497246
14.153422,-2.118686
12.893729,-0.35623947
10.89909,-3.7178395
9.8026905,1.6607205
9.825011,-1.7008795
10.745571,3.6776805
12.784852,0.3160805
11.462532,-3.0455196
11.038453,2.3330405
11.733093,-1.0285594
10.167664,-2.1300886
10.659015,3.2484715
12.269086,-0.113128565
10.517557,-3.4747286
9.6642685,1.9038315
9.9297,-1.4577686
11.093371,3.9207914
13.375763,0.5591914
12.296555,-2.8024085
8.957275,-3.9039376
7.6747775,1.4746224
7.5109997,-1.8869777
8.245462,3.4915824
10.098644,0.12998234
8.590227,-3.2316177
7.980049,2.1469424
8.488591,-1.2146577
31.099691,-2.474692
26.986599,-5.8362923
20.613436,-6.937821
13.499694,-7.2987704
8.822364,-1.9202102
9.523593,3.4583497
11.343543,0.096749805
9.801893,-3.2648501
9.158483,2.1137097
9.633793,-1.2478902
11.007342,4.1306696
13.499612,0.7690698
12.630281,-2.5925303
9.500881,-3.6940594
8.428262,1.6845007
8.474362,-1.6770992
9.418703,3.7014606
11.481764,0.3398607
10.183225,-3.0217392
9.782925,2.3568208
10.501346,-1.0047793
8.959696,-2.1063085
9.474827,3.2722516
11.108679,-0.08934837
9.380931,-3.4509485
8.551422,1.9276116
8.840633,-1.4339883
10.028086,3.9445717
12.334257,0.58297163
11.278829,-2.7786283
32.641823,-2.2528687
28.750553,-5.6144686
22.599213,-6.7159977
15.7072935,-7.0769467
11.251787,-1.6983868
10.412394,0.0640598
8.838054,-3.2975402
8.161953,2.0810199
8.604573,-1.2805802
9.945433,4.09798
12.405013,0.7363798
11.502993,-2.6252203
8.340901,-3.7267492
7.235592,1.6518108
7.249003,-1.7097893
8.160653,3.6687708
10.191024,0.30717072
8.859795,-3.0544293
8.4268055,2.3241308
9.112536,-1.0374693
10.696507,4.3410907
13.399198,0.9794907
12.740289,-2.3821094
9.821308,-3.4836383
8.95911,1.8949217
9.2156315,-1.4666784
10.370393,3.9118817
12.643875,0.55028164
11.555757,-2.8113184
8.207567,-3.9128475
29.956093,-3.9562154
25.999878,-3.9562154
22.043661,-3.9562154
18.087446,-3.9562154
14.131231,-3.9562154
10.175015,-3.9562154
8.8402405,1.4223447
8.624186,-1.9392554
9.30637,3.4393046
11.107275,0.07770469
